cntr_code,file_name,xmin,xmax,ymin,ymax,epsg
AT,Art8_RasterTemplate_10m_AT.tif,4284000,4856000,2594000,2893000,3035
BE,Art8_RasterTemplate_10m_BE.tif,3798000,4067000,2940000,3169000,3035
BG,Art8_RasterTemplate_10m_BG.tif,5311000,5813000,2118000,2496000,3035
CY,Art8_RasterTemplate_10m_CY.tif,6340000,6529000,1592000,1764000,3035
CZ,Art8_RasterTemplate_10m_CZ.tif,4469000,4962000,2834000,3115000,3035
DE,Art8_RasterTemplate_10m_DE.tif,4030000,4674000,2683000,3553000,3035
DK,Art8_RasterTemplate_10m_DK.tif,4198000,4652000,3495000,3852000,3035
EE,Art8_RasterTemplate_10m_EE.tif,5006000,5369000,3924000,4194000,3035
ES,Art8_RasterTemplate_10m_ES.tif,2759000,3835000,1438000,2470000,3035
ES,Art8_RasterTemplate_10m_ES_CA.tif,1546000,2048000,940000,1146000,3035
FI,Art8_RasterTemplate_10m_FI.tif,4743000,5405000,4086000,5309000,3035
FR,Art8_RasterTemplate_10m_FR.tif,3208000,4286000,2025000,3137000,3035
FR,Art8_RasterTemplate_10m_FR_GF.tif,98000,432000,233000,638000,32622
FR,Art8_RasterTemplate_10m_FR_GP.tif,626000,715000,1750000,1827000,32620
FR,Art8_RasterTemplate_10m_FR_MQ.tif,690000,738000,1591000,1647000,32620
FR,Art8_RasterTemplate_10m_FR_RE.tif,314000,380000,7633000,7692000,32740
FR,Art8_RasterTemplate_10m_FR_YT.tif,493000,534000,8554000,8610000,32738
GR,Art8_RasterTemplate_10m_GR.tif,5124000,5957000,1423000,2218000,3035
HR,Art8_RasterTemplate_10m_HR.tif,4571000,5064000,2163000,2627000,3035
HU,Art8_RasterTemplate_10m_HU.tif,4785000,5281000,2548000,2897000,3035
IE,Art8_RasterTemplate_10m_IE.tif,2923000,3276000,3325000,3726000,3035
IT,Art8_RasterTemplate_10m_IT.tif,4054000,5051000,1385000,2668000,3035
LT,Art8_RasterTemplate_10m_LT.tif,5006000,5381000,3506000,3802000,3035
LU,Art8_RasterTemplate_10m_LU.tif,4013000,4073000,2932000,3017000,3035
LV,Art8_RasterTemplate_10m_LV.tif,4991000,5439000,3714000,3985000,3035
MT,Art8_RasterTemplate_10m_MT.tif,4700000,4740000,1424000,1459000,3035
NL,Art8_RasterTemplate_10m_NL.tif,3857000,4137000,3077000,3413000,3035
PL,Art8_RasterTemplate_10m_PL.tif,4594000,5314000,2944000,3558000,3035
PT,Art8_RasterTemplate_10m_PT.tif,2634000,2979000,1728000,2300000,3035
PT,Art8_RasterTemplate_10m_PT_AZ.tif,942000,1330000,2249000,2795000,3035
PT,Art8_RasterTemplate_10m_PT_MA.tif,1790000,1890000,1203000,1544000,3035
RO,Art8_RasterTemplate_10m_RO.tif,5111000,5859000,2389000,2937000,3035
SE,Art8_RasterTemplate_10m_SE.tif,4375000,4974000,3585000,5138000,3035
SI,Art8_RasterTemplate_10m_SI.tif,4571000,4830000,2482000,2662000,3035
SK,Art8_RasterTemplate_10m_SK.tif,4825000,5236000,2765000,2994000,3035
